net,length_um
clknet_1_0_0_clk_i,7.80469mm
clknet_1_1_0_clk_i,6.96835mm
net576,6.14768mm
u_npu.tcm_addr_a\[1\],6.04595mm
net560,5.73026mm
net1483,5.70749mm
u_npu.tcm_addr_a\[0\],5.56098mm
net1492,5.10959mm
net1474,4.95084mm
net448,4.91004mm
net480,4.8962mm
u_npu.tcm_addr_a\[2\],4.88781mm
net528,4.88779mm
net512,4.87847mm
net496,4.87564mm
net458,4.87465mm
net544,4.85624mm
u_npu.tcm_addr_a\[5\],4.82868mm
u_npu.tcm_addr_a\[7\],4.82807mm
u_npu.tcm_addr_a\[3\],4.81127mm
u_npu.tcm_addr_a\[4\],4.80098mm
u_npu.tcm_addr_a\[8\],4.77594mm
u_npu.tcm_addr_a\[6\],4.77448mm
net1464,4.64509mm
clk_i,3.94579mm
net1535,3.5443mm
net1525,3.54147mm
net590,3.46756mm
net6077,3.406355mm
net6072,3.3966mm
net6082,3.33615mm
net611,3.30474mm
net629,3.29675mm
net585,3.2922mm
net624,3.23018mm
net1540,3.21386mm
net631,3.18703mm
net642,3.15914mm
net6087,3.14877mm
net6102,3.14809mm
net647,3.132405mm
net2119,3.10237mm
net649,3.09923mm
net1530,3.09805mm
net606,3.0813mm
net6092,3.077145mm
net6097,3.07358mm
net1499,3.073205mm
net1447,3.06308mm
net5840,3.050585mm
net6028,3.03849mm
net702,3.0266mm
net595,3.02484mm
net1449,3.0174mm
net2076,3.013045mm
net1315,3.001405mm
net613,2.99088mm
net711,2.96336mm
net6038,2.96201mm
iram_s_wdata\[31\],2.947725mm
net1504,2.945685mm
net1310,2.94296mm
net6033,2.94144mm
net142,2.9391mm
iram_s_wdata\[27\],2.92314mm
net829,2.91517mm
net6023,2.90993mm
iram_s_wdata\[29\],2.8995mm
net6113,2.87957mm
net2130,2.874035mm
net1086,2.85654mm
net6043,2.84911mm
net1716,2.84907mm
net6048,2.84325mm
u_npu.axi_ram_addr_a\[1\],2.8339mm
net140,2.82869mm
net1727,2.82776mm
iram_s_wdata\[2\],2.81563mm
net6108,2.80821mm
net2063,2.79462mm
net136,2.79246mm
iram_s_wdata\[3\],2.78782mm
net2120,2.77902mm
net5841,2.7789mm
net139,2.77628mm
net1743,2.77438mm
_035231_,2.75598mm
net6053,2.74319mm
net1005,2.73742mm
net383,2.69677mm
net2060,2.68905mm
net751,2.67824mm
net749,2.6398mm
net237,2.63693mm
u_npu.axi_ram_addr_a\[0\],2.62841mm
u_npu.tcm_we_a\[3\],2.61695mm
net193,2.60742mm
u_npu.tcm_we_a\[0\],2.60684mm
net135,2.60434mm
net411,2.60219mm
net226,2.60184mm
net363,2.59394mm
net2132,2.588mm
u_npu.tcm_we_a\[2\],2.58689mm
net204,2.58053mm
net1071,2.57874mm
iram_s_wstrb\[3\],2.57683mm
iram_s_wdata\[7\],2.56957mm
iram_s_wdata\[25\],2.55236mm
net215,2.54101mm
net1088,2.53829mm
net357,2.53466mm
net831,2.53406mm
u_npu.tcm_we_a\[1\],2.53158mm
net160,2.51722mm
net389,2.51625mm
net149,2.51259mm
net153,2.51137mm
net5876,2.51106mm
net1020,2.50386mm
net171,2.49558mm
net359,2.48572mm
net413,2.48422mm
net182,2.47606mm
net1438,2.47109mm
net2135,2.470295mm
clknet_7_2__leaf_clk_i_regs,2.4679mm
net1015,2.46771mm
net369,2.46738mm
net2069,2.46734mm
net377,2.46375mm
net371,2.46268mm
net141,2.46264mm
net2096,2.46226mm
u_npu.axi_ram_addr_a\[8\],2.45755mm
net2142,2.45587mm
net1772,2.453715mm
net365,2.45179mm
net2066,2.4421mm
net241,2.43757mm
net423,2.43711mm
net1194,2.4366mm
iram_s_wstrb\[2\],2.42496mm
net2126,2.424mm
net6215,2.42332mm
net1304,2.42229mm
iram_s_wdata\[8\],2.42131mm
net362,2.41557mm
net407,2.41261mm
net1010,2.41002mm
net1025,2.40699mm
net1073,2.4068mm
u_npu.axi_ram_addr_a\[2\],2.40566mm
iram_s_wdata\[6\],2.39622mm
iram_s_wdata\[0\],2.38955mm
net364,2.38819mm
net329,2.38786mm
net208,2.3834mm
net401,2.37913mm
u_npu.axi_ram_addr_a\[4\],2.37858mm
net395,2.376mm
net1237,2.37344mm
merged_m_araddr\[8\],2.36763mm
net5847,2.36146mm
net2006,2.361315mm
_015271_,2.36086mm
net709,2.35916mm
net375,2.34521mm
net2040,2.34394mm
net381,2.33914mm
iram_s_wdata\[14\],2.32547mm
net6275,2.3192mm
_035548_,2.30636mm
net1400,2.30161mm
net399,2.30135mm
net252,2.29773mm
net995,2.29469mm
net1613,2.29203mm
clknet_7_3__leaf_clk_i_regs,2.29181mm
u_npu.ram_rdata_a\[8\],2.281865mm
net417,2.2752mm
net431,2.26558mm
net368,2.26367mm
net715,2.26362mm
net358,2.26041mm
net230,2.25535mm
net307,2.25088mm
net6068,2.24692mm
net838,2.24316mm
net370,2.24228mm
iram_s_wdata\[1\],2.24113mm
net2059,2.23724mm
net719,2.22916mm
u_gpio.gpio_in_q1\[11\],2.22884mm
net1699,2.22658mm
net356,2.22607mm
net175,2.2197mm
net1095,2.21754mm
net2061,2.21497mm
net1453,2.21355mm
net6213,2.21147mm
net1069,2.20886mm
net1000,2.20648mm
net20,2.20577mm
iram_s_wdata\[4\],2.20403mm
net248,2.20352mm
net2138,2.202695mm
net758,2.19962mm
iram_s_wdata\[12\],2.18642mm
net150,2.18005mm
net6063,2.17848mm
net387,2.1765mm
net393,2.17356mm
net1035,2.17254mm
net147,2.16377mm
net6065,2.16278mm
net164,2.16274mm
net429,2.1615mm
u_npu.axi_ram_addr_a\[6\],2.15842mm
net5850,2.15819mm
net6223,2.15672mm
net2053,2.1563mm
net405,2.15125mm
net1030,2.15016mm
net6058,2.14723mm
net180,2.14607mm
net6066,2.14573mm
net2054,2.14438mm
u_npu.u_npu_sram.sel_a_q\[1\],2.144325mm
net2131,2.14272mm
net2058,2.14054mm
net186,2.14013mm
net2056,2.13961mm
net2057,2.13327mm
net6064,2.13128mm
net285,2.13069mm
net6211,2.1299mm
net2051,2.12642mm
_015343_,2.12332mm
_015454_,2.12064mm
net347,2.11694mm
net425,2.10981mm
_016349_,2.10745mm
net235,2.10569mm
net197,2.10458mm
net2007,2.1043mm
net318,2.10314mm
net1545,2.10055mm
_016631_,2.09856mm
net2049,2.09826mm
u_gpio.gpio_in_q1\[12\],2.097685mm
net183,2.09665mm
net2094,2.09635mm
net2001,2.0885mm
u_interconnect.read_sel_q\[9\],2.08764mm
iram_s_wdata\[22\],2.08511mm
net419,2.08312mm
merged_m_araddr\[9\],2.08113mm
net1514,2.07852mm
net263,2.0777mm
timer_irq,2.07534mm
net274,2.07269mm
net351,2.07046mm
_045011_,2.06908mm
net6067,2.0681mm
iram_s_wdata\[5\],2.06455mm
net63,2.0626mm
net2137,2.060015mm
_016362_,2.05854mm
net2117,2.05766mm
net2050,2.0566mm
net392,2.0562mm
net2048,2.0549mm
net382,2.05026mm
_016389_,2.0453mm
net5842,2.04398mm
net410,2.04346mm
net376,2.04184mm
clknet_7_1__leaf_clk_i_regs,2.04117mm
_012142_,2.04087mm
_016371_,2.03994mm
u_interconnect.read_sel_q\[3\],2.03732mm
net394,2.03691mm
net205,2.03637mm
net398,2.0331mm
net314,2.03053mm
net1382,2.02472mm
merged_m_araddr\[2\],2.023505mm
net388,2.02276mm
net268,2.02181mm
net2031,2.0216mm
net219,2.01913mm
net412,2.01846mm
_015374_,2.0182mm
net281,2.01712mm
merged_m_araddr\[10\],2.01012mm
net380,2.0092mm
net400,2.00834mm
_015433_,2.00252mm
net5855,2.00228mm
net428,2.00056mm
net158,2.00037mm
_015511_,1.99976mm
_015405_,1.996855mm
net213,1.99523mm
merged_m_araddr\[7\],1.99499mm
_015362_,1.99378mm
net293,1.99332mm
net406,1.9926mm
net2047,1.99253mm
net386,1.99226mm
_016441_,1.98806mm
net161,1.98794mm
net1718,1.98751mm
net312,1.98743mm
net374,1.98628mm
_016405_,1.98593mm
net315,1.98506mm
net325,1.98289mm
net416,1.98044mm
_016426_,1.97968mm
net169,1.97921mm
net172,1.97829mm
net424,1.97562mm
net191,1.97481mm
net729,1.97272mm
_016395_,1.969485mm
net259,1.96599mm
_044755_,1.965775mm
_016448_,1.96544mm
net290,1.96526mm
net418,1.96354mm
net270,1.96281mm
net1689,1.96187mm
net194,1.95939mm
u_qspi.io_oe,1.954235mm
_015453_,1.95334mm
merged_m_araddr\[3\],1.95239mm
_016416_,1.952365mm
net336,1.9517mm
net249,1.95027mm
_015434_,1.9486mm
net296,1.94835mm
net404,1.94628mm
net422,1.94368mm
_016632_,1.943395mm
net216,1.94305mm
net2136,1.941315mm
net202,1.93525mm
u_npu.tcm_wdata_a\[11\],1.93429mm
u_npu.tcm_wdata_a\[1\],1.93284mm
net224,1.93116mm
iram_s_wstrb\[0\],1.93061mm
iram_s_wdata\[20\],1.93045mm
net2073,1.93044mm
net674,1.92884mm
iram_s_wstrb\[1\],1.92823mm
net2072,1.92552mm
net303,1.92491mm
net6218,1.92454mm
net1761,1.92429mm
net2071,1.9237mm
net246,1.92267mm
u_npu.ram_rdata_a\[14\],1.921895mm
net1748,1.91682mm
net1508,1.91594mm
u_npu.tcm_wdata_a\[5\],1.91327mm
net430,1.90658mm
u_npu.ram_rdata_a\[19\],1.906295mm
_015510_,1.90554mm
net301,1.90467mm
_015442_,1.90328mm
