net,length_um
clknet_1_0_1_clk_i,6.68525mm
clknet_1_1_1_clk_i,6.40949mm
net23569,4.17466mm
clk_i,4.11055mm
net1012,3.61658mm
net7938,3.58492mm
net7885,3.38604mm
net983,3.33205mm
iram_s_wdata\[9\],3.31191mm
net3617,3.30367mm
_060275_,3.28489mm
net1013,3.18676mm
net1054,3.16066mm
s5_rdata\[10\],3.14051mm
net2164,3.123mm
net1079,3.10777mm
clknet_leaf_6_clk_i,3.0949mm
iram_s_wdata\[11\],3.08595mm
net984,3.027905mm
net985,2.90928mm
net1011,2.89319mm
net3851,2.87511mm
net911,2.830485mm
net330,2.77889mm
net3367,2.73793mm
net867,2.70762mm
net3385,2.68425mm
net2171,2.646345mm
net3349,2.645205mm
net2168,2.63333mm
_026824_,2.61866mm
net316,2.59922mm
net345,2.57787mm
net408,2.55961mm
net599,2.54349mm
net360,2.52833mm
net3156,2.52001mm
net2525,2.50978mm
net415,2.49539mm
net3412,2.49517mm
_031291_,2.46191mm
net328,2.42325mm
net368,2.42051mm
net313,2.40889mm
net307,2.40594mm
net305,2.40474mm
net321,2.39829mm
net299,2.3949mm
net8305,2.39199mm
net627,2.38918mm
net300,2.38707mm
net3050,2.38504mm
net291,2.38176mm
net297,2.38161mm
net289,2.37596mm
net12848,2.37591mm
net319,2.3713mm
net3085,2.36532mm
net3120,2.36204mm
net295,2.35963mm
net338,2.35845mm
net3195,2.35612mm
net303,2.35397mm
net283,2.35379mm
net326,2.35372mm
net309,2.3522mm
net597,2.34925mm
net281,2.34778mm
net279,2.34684mm
net311,2.34526mm
net287,2.34471mm
net325,2.34416mm
net596,2.34416mm
net3138,2.33672mm
net332,2.32619mm
net340,2.32069mm
net3103,2.31628mm
net8306,2.29818mm
clknet_7_86_0_clk_i_regs,2.28651mm
net2994,2.27947mm
net323,2.2728mm
net352,2.26816mm
_059699_,2.25874mm
net392,2.25825mm
_031824_,2.25336mm
net2976,2.24815mm
net315,2.24687mm
net3068,2.2439mm
net284,2.24219mm
net457,2.22948mm
net343,2.22932mm
net478,2.22854mm
clknet_5_23_0_clk_i_regs,2.217365mm
net2904,2.21682mm
clknet_7_14_0_clk_i_regs,2.211165mm
net2940,2.20745mm
net336,2.20717mm
net2958,2.20557mm
net3033,2.2052mm
net1651,2.20511mm
net292,2.19695mm
net3153,2.19636mm
net422,2.18513mm
net2922,2.17546mm
net356,2.17484mm
net350,2.17193mm
net334,2.16855mm
net358,2.16843mm
net382,2.16723mm
net398,2.16482mm
net372,2.16207mm
net374,2.15911mm
net384,2.15864mm
net443,2.15833mm
_070585_,2.15706mm
net362,2.15463mm
net376,2.15099mm
net2886,2.14706mm
net396,2.14181mm
net413,2.13908mm
net354,2.13786mm
net380,2.13732mm
clknet_5_22_0_clk_i_regs,2.13509mm
net377,2.13068mm
net348,2.13066mm
net7878,2.12912mm
net2585,2.12784mm
net386,2.12287mm
net402,2.12072mm
net411,2.11606mm
net618,2.1094mm
net341,2.10634mm
net347,2.10259mm
net417,2.10199mm
net6037,2.09859mm
net436,2.09544mm
net450,2.09435mm
net364,2.08128mm
net609,2.07657mm
net616,2.07341mm
net370,2.07291mm
net622,2.05781mm
net301,2.05774mm
net611,2.05581mm
net615,2.054mm
net394,2.05394mm
net434,2.04943mm
net406,2.04483mm
net625,2.03998mm
net629,2.03502mm
net388,2.03067mm
net400,2.02768mm
_029131_,2.027535mm
net390,2.02455mm
_029351_,2.023825mm
net296,2.01794mm
net280,2.00613mm
net251,2.00582mm
net3584,1.99756mm
_071220_,1.99708mm
net366,1.99092mm
net327,1.98928mm
net420,1.98896mm
net648,1.98763mm
net429,1.98376mm
net2553,1.9814mm
net620,1.9801mm
net312,1.97667mm
net331,1.9693mm
net7150,1.96666mm
net385,1.9617mm
clknet_5_21_0_clk_i_regs,1.9603mm
net613,1.95946mm
net404,1.95446mm
net427,1.95405mm
net2565,1.95342mm
net342,1.94825mm
net349,1.94774mm
net431,1.94534mm
net410,1.94498mm
_033602_,1.94163mm
net425,1.93857mm
net3827,1.93821mm
net432,1.93793mm
net445,1.93739mm
clknet_leaf_5_clk_i,1.93344mm
net485,1.93334mm
net464,1.93138mm
net438,1.93122mm
net492,1.93056mm
