Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,818
design__inferred_latch__count,0
design__instance__count,2073891
design__instance__area,1.44948E+7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,4378
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,11
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1601
power__internal__total,0.10444503277540207
power__switching__total,0.01697433553636074
power__leakage__total,0.00041588794556446373
power__total,0.12183526158332825
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.2698578104025458
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.498366362284213
timing__hold__ws__corner:nom_tt_025C_1v80,0.32036085802034575
timing__setup__ws__corner:nom_tt_025C_1v80,1.3802746003502309
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320361
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3.453575
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,16180
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,11
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1649
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.3197275867891896
clock__skew__worst_setup__corner:nom_ss_100C_1v60,2.269188901011291
timing__hold__ws__corner:nom_ss_100C_1v60,0.7504197475819064
timing__setup__ws__corner:nom_ss_100C_1v60,-1.2962147277971765
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-11.10985646037131
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.2962147277971765
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.750420
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,37
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.916938
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,36
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,2585
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,11
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1602
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.9228569281082831
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.15269597130029
timing__hold__ws__corner:nom_ff_n40C_1v95,0.16477997210897638
timing__setup__ws__corner:nom_ff_n40C_1v95,2.4939349069560914
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.164780
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,5.149158
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,19341
design__max_fanout_violation__count,11
design__max_cap_violation__count,1888
clock__skew__worst_hold,-0.8191192400656409
clock__skew__worst_setup,1.0317251789374255
timing__hold__ws,0.16421464652884876
timing__setup__ws,-1.8149393612820146
timing__hold__tns,0.0
timing__setup__tns,-34.79401398814437
timing__hold__wns,0
timing__setup__wns,-1.8149393612820146
timing__hold_vio__count,0
timing__hold_r2r__ws,0.164215
timing__hold_r2r_vio__count,0
timing__setup_vio__count,115
timing__setup_r2r__ws,-1.430575
timing__setup_r2r_vio__count,112
design__die__bbox,0.0 0.0 3832.4 4249.24
design__core__bbox,5.52 10.88 3826.74 4237.76
design__io,81
design__die__area,1.62848E+7
design__core__area,1.61518E+7
design__instance__count__stdcell,250483
design__instance__area__stdcell,1.43339E+6
design__instance__count__macros,23
design__instance__area__macros,6.54438E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.493924
design__instance__utilization__stdcell,0.149196
design__rows,5609
design__rows:unithd,5609
design__sites,6354259
design__sites:unithd,6354259
design__instance__count__class:macro,23
design__instance__area__class:macro,6.54438E+6
design__instance__count__class:buffer,10144
design__instance__area__class:buffer,43103.8
design__instance__count__class:inverter,8470
design__instance__area__class:inverter,33011.7
design__instance__count__class:sequential_cell,12273
design__instance__area__class:sequential_cell,291137
design__instance__count__class:multi_input_combinational_cell,70610
design__instance__area__class:multi_input_combinational_cell,622987
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1823385
design__instance__area__class:fill_cell,6.51705E+6
design__instance__count__class:tap_cell,113500
design__instance__area__class:tap_cell,142011
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,79
design__io__hpwl,94557833
flow__warnings__count:GRT-0281,4
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,56304.6
design__instance__displacement__mean,0.22
design__instance__displacement__max,35.88
route__wirelength__estimated,7.3551E+6
design__violations,0
design__instance__count__class:clock_buffer,2350
design__instance__area__class:clock_buffer,29776.1
design__instance__count__class:timing_repair_buffer,24488
design__instance__area__class:timing_repair_buffer,245634
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,2
design__instance__count__class:clock_inverter,462
design__instance__area__class:clock_inverter,5248.78
flow__warnings__count:CTS-0128,1
flow__warnings__count:CTS-0132,1
design__instance__count__setup_buffer,679
design__instance__count__hold_buffer,11
flow__warnings__count:RSZ-0062,1
global_route__vias,63
global_route__wirelength,10888745
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,6380
design__instance__count__class:antenna_cell,8186
design__instance__area__class:antenna_cell,20484.6
flow__warnings__count:GRT-0243,2
flow__warnings__count:RSZ-0064,1
route__net,128815
route__net__special,2
route__drc_errors__iter:0,125
route__wirelength__iter:0,8616156
route__drc_errors__iter:1,57
route__wirelength__iter:1,8616144
route__drc_errors__iter:2,10
route__wirelength__iter:2,8616141
route__drc_errors__iter:3,0
route__wirelength__iter:3,8616093
route__drc_errors__iter:4,1
route__wirelength__iter:4,8616203
route__drc_errors__iter:5,0
