Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,818
design__inferred_latch__count,0
design__instance__count,2078065
design__instance__area,1.44948E+7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,3659
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,17
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1532
power__internal__total,0.1048724427819252
power__switching__total,0.01753634586930275
power__leakage__total,0.0004159001400694251
power__total,0.12282469123601913
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.569644902927092
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.5241466298235444
timing__hold__ws__corner:nom_tt_025C_1v80,0.420319346780281
timing__setup__ws__corner:nom_tt_025C_1v80,1.6356978456898754
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.420319
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.635698
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,18037
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,17
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1570
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.620045143889904
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-2.270045105032097
timing__hold__ws__corner:nom_ss_100C_1v60,0.21153657202422196
timing__setup__ws__corner:nom_ss_100C_1v60,-7.796528088254739
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-4605.082397757616
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-7.796528088254739
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.944866
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1742
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-7.796528
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1741
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,1867
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,17
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1525
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-1.127283853726336
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.208864598195288
timing__hold__ws__corner:nom_ff_n40C_1v95,0.07200684696763111
timing__setup__ws__corner:nom_ff_n40C_1v95,2.8633976000752286
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.072007
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,4.096080
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,21632
design__max_fanout_violation__count,17
design__max_cap_violation__count,1798
clock__skew__worst_hold,-0.9526605329803416
clock__skew__worst_setup,-2.494151178407405
timing__hold__ws,-0.20714630597147904
timing__setup__ws,-9.231106806899682
timing__hold__tns,-2.7471532493064714
timing__setup__tns,-6092.0430673287
timing__hold__wns,-0.20714630597147904
timing__setup__wns,-9.231106806899682
timing__hold_vio__count,17
timing__hold_r2r__ws,-0.049375
timing__hold_r2r_vio__count,1
timing__setup_vio__count,5193
timing__setup_r2r__ws,-9.231107
timing__setup_r2r_vio__count,5190
design__die__bbox,0.0 0.0 3832.4 4249.24
design__core__bbox,5.52 10.88 3826.74 4237.76
design__io,81
design__die__area,1.62848E+7
design__core__area,1.61518E+7
design__instance__count__stdcell,248330
design__instance__area__stdcell,1.40811E+6
design__instance__count__macros,23
design__instance__area__macros,6.54438E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.492358
design__instance__utilization__stdcell,0.146564
design__rows,5609
design__rows:unithd,5609
design__sites,6354259
design__sites:unithd,6354259
design__instance__count__class:macro,23
design__instance__area__class:macro,6.54438E+6
design__instance__count__class:buffer,10058
design__instance__area__class:buffer,41380.9
design__instance__count__class:inverter,8408
design__instance__area__class:inverter,32048.2
design__instance__count__class:sequential_cell,12275
design__instance__area__class:sequential_cell,291197
design__instance__count__class:multi_input_combinational_cell,70435
design__instance__area__class:multi_input_combinational_cell,607514
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1829712
design__instance__area__class:fill_cell,6.54234E+6
design__instance__count__class:tap_cell,113500
design__instance__area__class:tap_cell,142011
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,79
design__io__hpwl,77547450
flow__warnings__count:GRT-0281,4
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,67424.5
design__instance__displacement__mean,0.267
design__instance__displacement__max,39.9
route__wirelength__estimated,7.20143E+6
design__violations,0
design__instance__count__class:clock_buffer,2300
design__instance__area__class:clock_buffer,30646.9
design__instance__count__class:timing_repair_buffer,23853
design__instance__area__class:timing_repair_buffer,240542
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,2
design__instance__count__class:clock_inverter,425
design__instance__area__class:clock_inverter,5056.1
flow__warnings__count:CTS-0128,1
flow__warnings__count:CTS-0132,1
design__instance__count__setup_buffer,101
design__instance__count__hold_buffer,10
global_route__vias,23
global_route__wirelength,10930296
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
flow__warnings__count:EST-0026,1001
antenna_diodes_count,7075
design__instance__count__class:timing_repair_inverter,1
design__instance__area__class:timing_repair_inverter,7.5072
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-0064,1
route__net,127829
route__net__special,2
route__drc_errors__iter:0,30
route__wirelength__iter:0,8469196
route__drc_errors__iter:1,3
route__wirelength__iter:1,8469170
route__drc_errors__iter:2,3
route__wirelength__iter:2,8469170
route__drc_errors__iter:3,0
route__wirelength__iter:3,8469157
route__drc_errors__iter:4,0
route__wirelength__iter:4,8469174
route__drc_errors__iter:5,3
