Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,816
design__inferred_latch__count,0
design__instance__count,2075048
design__instance__area,1.44948E+7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,4432
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,66
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1603
power__internal__total,0.07339882850646973
power__switching__total,0.01240590400993824
power__leakage__total,0.00041589749162085354
power__total,0.0862206295132637
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.7924726654756933
clock__skew__worst_setup__corner:nom_tt_025C_1v80,2.102915012758128
timing__hold__ws__corner:nom_tt_025C_1v80,-0.35556225636848926
timing__setup__ws__corner:nom_tt_025C_1v80,3.671537844339844
timing__hold__tns__corner:nom_tt_025C_1v80,-0.646353655559292
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,-0.35556225636848926
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,3
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,-0.355562
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,3
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.486586
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,13701
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,66
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1655
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.2565888685261646
clock__skew__worst_setup__corner:nom_ss_100C_1v60,3.1107806100431445
timing__hold__ws__corner:nom_ss_100C_1v60,-0.011203482902953515
timing__setup__ws__corner:nom_ss_100C_1v60,0.8097434063575147
timing__hold__tns__corner:nom_ss_100C_1v60,-0.011203482902953515
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,-0.011203482902953515
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,1
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,-0.011203
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.003134
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,2950
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,66
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1605
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-1.333521997237987
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.6413897372535013
timing__hold__ws__corner:nom_ff_n40C_1v95,-0.40268967078444695
timing__setup__ws__corner:nom_ff_n40C_1v95,4.85033005266121
timing__hold__tns__corner:nom_ff_n40C_1v95,-1.521456337314186
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,-0.40268967078444695
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,12
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,-0.402690
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,12
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.529490
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,17065
design__max_fanout_violation__count,66
design__max_cap_violation__count,1911
clock__skew__worst_hold,-1.117467039420357
clock__skew__worst_setup,1.4351908956380335
timing__hold__ws,-0.6530487446763417
timing__setup__ws,0.22055247141758497
timing__hold__tns,-4.623482172426744
timing__setup__tns,0.0
timing__hold__wns,-0.6530487446763417
timing__setup__wns,0.0
timing__hold_vio__count,58
timing__hold_r2r__ws,-0.653049
timing__hold_r2r_vio__count,58
timing__setup_vio__count,0
timing__setup_r2r__ws,0.445542
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 3832.4 4249.24
design__core__bbox,5.52 10.88 3826.74 4237.76
design__io,81
design__die__area,1.62848E+7
design__core__area,1.61518E+7
design__instance__count__stdcell,254772
design__instance__area__stdcell,1.44732E+6
design__instance__count__macros,23
design__instance__area__macros,6.54438E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.494786
design__instance__utilization__stdcell,0.150646
design__rows,5609
design__rows:unithd,5609
design__sites,6354259
design__sites:unithd,6354259
design__instance__count__class:macro,23
design__instance__area__class:macro,6.54438E+6
design__instance__count__class:buffer,10499
design__instance__area__class:buffer,44682.9
design__instance__count__class:inverter,8545
design__instance__area__class:inverter,33560.9
design__instance__count__class:sequential_cell,12277
design__instance__area__class:sequential_cell,291369
design__instance__count__class:multi_input_combinational_cell,70638
design__instance__area__class:multi_input_combinational_cell,615454
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1820253
design__instance__area__class:fill_cell,6.50312E+6
design__instance__count__class:tap_cell,113500
design__instance__area__class:tap_cell,142011
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,79
design__io__hpwl,71731910
flow__warnings__count:GRT-0281,4
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,54937.5
design__instance__displacement__mean,0.212
design__instance__displacement__max,37.24
route__wirelength__estimated,7.52376E+6
design__violations,0
design__instance__count__class:clock_buffer,2387
design__instance__area__class:clock_buffer,30147.7
design__instance__count__class:timing_repair_buffer,26360
design__instance__area__class:timing_repair_buffer,259404
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,2
design__instance__count__class:clock_inverter,441
design__instance__area__class:clock_inverter,5357.64
flow__warnings__count:CTS-0128,1
flow__warnings__count:CTS-0132,1
design__instance__count__setup_buffer,89
design__instance__count__hold_buffer,5
flow__warnings__count:RSZ-0062,1
global_route__vias,392
global_route__wirelength,11626914
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,7279
design__instance__count__class:antenna_cell,10125
design__instance__area__class:antenna_cell,25336.8
flow__warnings__count:GRT-0243,2
flow__warnings__count:RSZ-0064,1
route__net,131156
route__net__special,2
route__drc_errors__iter:0,1021
route__wirelength__iter:0,8980098
route__drc_errors__iter:1,322
route__wirelength__iter:1,8979965
route__drc_errors__iter:2,210
route__wirelength__iter:2,8979933
route__drc_errors__iter:3,25
route__wirelength__iter:3,8979892
route__drc_errors__iter:4,0
