index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,,,7.721,21.439,0,0,[IRQ] Class: 3
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,,,7.995,21.487,0,0,[IRQ] Class: 3
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,,,7.921,21.485,0,0,[IRQ] Class: 3
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,,,8.202,21.458,0,0,[IRQ] Class: 2
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,,,7.990,21.483,0,0,[IRQ] Class: 3
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,,,8.475,21.441,0,0,[IRQ] Class: 2
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,,,7.327,21.457,0,0,[IRQ] Class: 2
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,,,7.844,21.459,0,0,[IRQ] Class: 3
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,,,6.713,21.443,0,0,[IRQ] Class: 3
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,7.801,21.490,0,0,[IRQ] Class: 2
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,,,8.093,21.424,0,0,[IRQ] Class: 0
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,7.946,21.546,0,0,[IRQ] Class: 2
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,7.824,21.412,0,0,[IRQ] Class: 2
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,,,7.447,21.751,0,0,[IRQ] Class: 3
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,,,7.804,21.422,0,0,[IRQ] Class: 2
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,,,7.535,21.474,0,0,[IRQ] Class: 3
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,,,12.128,21.497,0,0,[IRQ] Class: 2
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,19.419,21.515,0,0,[IRQ] Class: 2
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,,,17.671,27.424,0,0,[IRQ] Class: 3
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,,,7.849,21.515,0,0,[IRQ] Class: 3
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,,,7.997,21.482,0,0,[IRQ] Class: 2
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,,,8.484,21.526,0,0,[IRQ] Class: 3
22,no_e71a9381_nohash_2,no,no,1,no,1,-128;-126;-128;126,,,6.024,21.501,0,0,[IRQ] Class: 3
23,no_1995cf9e_nohash_0,no,no,1,no,1,-128;-127;-128;127,,,8.162,21.453,0,0,[IRQ] Class: 3
24,no_9712cce0_nohash_0,no,no,1,no,1,-128;-124;-128;124,,,8.077,21.461,0,0,[IRQ] Class: 3
25,no_40b60ae9_nohash_0,no,no,1,no,1,-128;-124;-128;124,,,8.561,21.451,0,0,[IRQ] Class: 3
