index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,0;335;111;3648,,8.019,21.392,0,0,"[IRQ] Class: 3 scores=0,335,111,3648"
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,0;21;6;4067,,7.901,21.469,0,0,"[IRQ] Class: 3 scores=0,21,6,4067"
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,0;13;6;4075,,8.129,21.385,0,0,"[IRQ] Class: 3 scores=0,13,6,4075"
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,0;8;4084;2,,7.961,21.402,0,0,"[IRQ] Class: 2 scores=0,8,4084,2"
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,0;59;0;4035,,7.964,21.405,0,0,"[IRQ] Class: 3 scores=0,59,0,4035"
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,1;121;3608;363,,9.980,21.395,0,0,"[IRQ] Class: 2 scores=1,121,3608,363"
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,0;0;4085;8,,16.464,27.279,0,0,"[IRQ] Class: 2 scores=0,0,4085,8"
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,5;439;33;3618,,7.663,21.443,0,0,"[IRQ] Class: 3 scores=5,439,33,3618"
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,0;315;20;3760,,8.094,21.400,0,0,"[IRQ] Class: 3 scores=0,315,20,3760"
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4096;0,,7.780,21.364,0,0,"[IRQ] Class: 2 scores=0,0,4096,0"
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,2737;910;145;302,,8.211,21.395,0,0,"[IRQ] Class: 0 scores=2737,910,145,302"
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;3;4091;0,,7.918,21.400,0,0,"[IRQ] Class: 2 scores=0,3,4091,0"
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4096;0,,8.026,21.381,0,0,"[IRQ] Class: 2 scores=0,0,4096,0"
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,0;245;1;3847,,7.844,21.404,0,0,"[IRQ] Class: 3 scores=0,245,1,3847"
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4094;0,,7.952,21.365,0,0,"[IRQ] Class: 2 scores=0,0,4094,0"
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,0;1954;0;2141,,8.015,21.362,0,0,"[IRQ] Class: 3 scores=0,1954,0,2141"
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,0;9;4084;1,,8.096,21.398,0,0,"[IRQ] Class: 2 scores=0,9,4084,1"
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;6;4087;1,,8.003,21.390,0,0,"[IRQ] Class: 2 scores=0,6,4087,1"
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,0;133;3;3958,,8.092,21.387,0,0,"[IRQ] Class: 3 scores=0,133,3,3958"
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,0;129;107;3857,,19.583,25.894,0,0,"[IRQ] Class: 3 scores=0,129,107,3857"
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,0;4;4090;0,,7.989,21.395,0,0,"[IRQ] Class: 2 scores=0,4,4090,0"
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,0;25;0;4069,,8.140,21.415,0,0,"[IRQ] Class: 3 scores=0,25,0,4069"
22,no_e71a9381_nohash_2,no,no,1,no,1,-128;-126;-128;126,0;25;0;4069,,8.153,21.426,0,0,"[IRQ] Class: 3 scores=0,25,0,4069"
23,no_1995cf9e_nohash_0,no,no,1,no,1,-128;-127;-128;127,0;8;0;4087,,8.336,21.399,0,0,"[IRQ] Class: 3 scores=0,8,0,4087"
24,no_9712cce0_nohash_0,no,no,1,no,1,-128;-124;-128;124,0;70;0;4025,,8.000,21.391,0,0,"[IRQ] Class: 3 scores=0,70,0,4025"
25,no_40b60ae9_nohash_0,no,no,1,no,1,-128;-124;-128;124,0;70;0;4025,,7.625,21.386,0,0,"[IRQ] Class: 3 scores=0,70,0,4025"
26,yes_39afb88e_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;1;4093;0,,8.015,21.399,0,0,"[IRQ] Class: 2 scores=0,1,4093,0"
27,go_8931f494_nohash_0,no,no,1,unknown,0,-128;-12;-128;11,0;1857;7;2231,,7.828,21.398,0,0,"[IRQ] Class: 3 scores=0,1857,7,2231"
28,yes_31fd5cf5_nohash_0,unknown,unknown,1,yes,0,-128;6;-16;-119,3;2151;1790;150,,8.050,21.389,0,0,"[IRQ] Class: 1 scores=3,2151,1790,150"
29,no_a8f45bdc_nohash_0,no,no,1,no,1,-128;-128;-128;127,0;6;0;4089,,8.025,21.395,0,0,"[IRQ] Class: 3 scores=0,6,0,4089"
30,yes_cc6ee39b_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4096;0,,7.919,21.424,0,0,"[IRQ] Class: 2 scores=0,0,4096,0"
31,go_190821dc_nohash_1,no,no,1,unknown,0,-128;-117;-128;117,0;173;0;3922,,7.504,21.376,0,0,"[IRQ] Class: 3 scores=0,173,0,3922"
32,yes_472b8045_nohash_4,yes,yes,1,yes,1,-128;-127;126;-128,0;23;4065;6,,17.480,27.972,0,0,"[IRQ] Class: 2 scores=0,23,4065,6"
33,no_1a73dcd1_nohash_2,unknown,unknown,1,no,0,-128;4;-80;-52,0;2109;769;1216,,7.949,21.411,0,0,"[IRQ] Class: 1 scores=0,2109,769,1216"
34,no_6727b579_nohash_0,no,no,1,no,1,-128;-127;-128;127,0;8;0;4087,,8.034,21.387,0,0,"[IRQ] Class: 3 scores=0,8,0,4087"
35,no_270bfa52_nohash_1,no,no,1,no,1,-128;-125;-128;125,0;45;0;4049,,7.930,21.442,0,0,"[IRQ] Class: 3 scores=0,45,0,4049"
36,go_6adb8ad9_nohash_0,no,no,1,unknown,0,-128;-95;-128;95,0;521;0;3574,,8.034,21.388,0,0,"[IRQ] Class: 3 scores=0,521,0,3574"
37,go_cb72dfb6_nohash_3,no,no,1,unknown,0,-128;-56;-125;53,0;1081;47;2966,,7.692,21.398,0,0,"[IRQ] Class: 3 scores=0,1081,47,2966"
38,no_b69002d4_nohash_0,no,no,1,no,1,-128;-30;-126;28,0;1574;30;2490,,7.892,21.379,0,0,"[IRQ] Class: 3 scores=0,1574,30,2490"
39,go_56eab10e_nohash_0,no,no,1,unknown,0,-128;-122;-128;122,0;101;0;3993,,7.562,21.448,0,0,"[IRQ] Class: 3 scores=0,101,0,3993"
40,go_d0faf7e4_nohash_3,unknown,unknown,1,unknown,1,-128;45;-127;-45,0;2761;9;1325,,7.819,21.433,0,0,"[IRQ] Class: 1 scores=0,2761,9,1325"
41,no_dce05676_nohash_0,no,no,1,no,1,-128;-126;-128;126,0;31;1;4062,,7.893,21.388,0,0,"[IRQ] Class: 3 scores=0,31,1,4062"
42,go_bb6d4301_nohash_3,no,no,1,unknown,0,-128;-73;-128;72,0;887;0;3207,,8.106,21.386,0,0,"[IRQ] Class: 3 scores=0,887,0,3207"
43,no_1dc86f91_nohash_3,no,no,1,no,1,-128;-108;-126;106,0;314;38;3742,,7.995,21.381,0,0,"[IRQ] Class: 3 scores=0,314,38,3742"
44,go_eeaf97c3_nohash_3,no,no,1,unknown,0,-128;-13;-125;10,0;1838;46;2209,,8.059,21.394,0,0,"[IRQ] Class: 3 scores=0,1838,46,2209"
45,yes_1b18600d_nohash_1,yes,yes,1,yes,1,-70;-80;-7;-100,931;775;1941;447,,2.079,27.626,0,0,"[IRQ] Class: 2 scores=931,775,1941,447"
46,yes_3e31dffe_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4096;0,,7.978,21.393,0,0,"[IRQ] Class: 2 scores=0,0,4096,0"
47,yes_2296b1af_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,0;4;4090;0,,8.145,21.463,0,0,"[IRQ] Class: 2 scores=0,4,4090,0"
48,yes_de3fe344_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;4;4091;0,,8.045,21.417,0,0,"[IRQ] Class: 2 scores=0,4,4091,0"
49,go_e71a9381_nohash_2,no,no,1,unknown,0,-128;-96;-128;95,0;520;6;3568,,8.347,21.415,0,0,"[IRQ] Class: 3 scores=0,520,6,3568"
50,no_5f1253e9_nohash_0,no,no,1,no,1,-128;-106;-115;93,0;356;205;3533,,7.757,21.410,0,0,"[IRQ] Class: 3 scores=0,356,205,3533"
51,no_6c0f6493_nohash_0,no,no,1,no,1,-128;-123;-128;123,0;85;0;4009,,8.046,21.418,0,0,"[IRQ] Class: 3 scores=0,85,0,4009"
52,no_773e26f7_nohash_4,no,no,1,no,1,-128;-118;-128;118,0;158;0;3936,,8.127,21.419,0,0,"[IRQ] Class: 3 scores=0,158,0,3936"
53,go_01bcfc0c_nohash_0,no,no,1,unknown,0,-128;-87;-128;87,0;658;5;3432,,7.904,21.375,0,0,"[IRQ] Class: 3 scores=0,658,5,3432"
54,no_c5a1e46c_nohash_0,no,no,1,no,1,-128;-110;-127;109,0;290;15;3789,,8.084,21.365,0,0,"[IRQ] Class: 3 scores=0,290,15,3789"
55,yes_f2e59fea_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,0;1;4087;6,,7.797,21.419,0,0,"[IRQ] Class: 2 scores=0,1,4087,6"
56,go_954f190f_nohash_0,no,no,1,unknown,0,-121;-50;-121;35,115;1253;115;2611,,7.932,21.387,0,0,"[IRQ] Class: 3 scores=115,1253,115,2611"
57,go_3659fc1c_nohash_0,no,no,1,unknown,0,-66;-66;-95;-29,997;997;524;1577,,8.107,21.398,0,0,"[IRQ] Class: 3 scores=997,997,524,1577"
58,go_0cb74144_nohash_1,no,no,1,unknown,0,-128;-110;-125;107,1;287;50;3755,,10.862,21.430,0,0,"[IRQ] Class: 3 scores=1,287,50,3755"
59,go_1942abd7_nohash_0,unknown,unknown,1,unknown,1,-128;110;-127;-111,4;3813;12;266,,21.120,21.440,0,0,"[IRQ] Class: 1 scores=4,3813,12,266"
60,go_b69002d4_nohash_1,no,no,1,unknown,0,-128;-90;-128;90,0;609;5;3480,,7.902,21.405,0,0,"[IRQ] Class: 3 scores=0,609,5,3480"
61,go_28e47b1a_nohash_1,unknown,unknown,1,unknown,1,-128;80;-128;-80,0;3324;4;766,,8.132,21.385,0,0,"[IRQ] Class: 1 scores=0,3324,4,766"
