scenario,result,detail
silence_zeros,PASS,"cikti=no, gecikme=24.0 ms, sonraki gecerli cerceve yanitladi"
silence_dither,PASS,"cikti=no, gecikme=22.8 ms, sonraki gecerli cerceve yanitladi"
saturate_max,PASS,"cikti=unknown, gecikme=23.8 ms, sonraki gecerli cerceve yanitladi"
saturate_min,PASS,"cikti=silence, gecikme=23.7 ms, sonraki gecerli cerceve yanitladi"
alternating,PASS,"cikti=silence, gecikme=23.4 ms, sonraki gecerli cerceve yanitladi"
back_to_back,FAIL,araliksiz 5 cerceveden 4 tanesi yanitlandi
truncated_frame,PASS,kesik cerceve sonrasi kurtarma basarili (cikti=unknown)
oversized_frame,PASS,fazladan bayt sonrasi kurtarma basarili (cikti=no)
peripheral_interleave,SKIP,ATLANDI (opsiyonel): hooks.interleave_core_hex tanimlanmamis; cevre birimi araya girme testi uygulanmadi.
determinism,PASS,10 tekrarda 1 farkli sonuc; gecikme jitter=0.79 ms
recovery_after_idle,PASS,3 s bosta bekledikten sonra yanit verdi (no)
