index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,no,1,unknown,0,-128;-107;-121;100,,,8.167,21.440,0,0,[IRQ] Class: 3
1,no_256c0a05_nohash_0,no,no,1,no,1,-128;-127;-128;126,,,7.094,21.504,0,0,[IRQ] Class: 3
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,,,8.099,21.455,0,0,[IRQ] Class: 3
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,,,8.338,21.399,0,0,[IRQ] Class: 2
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,,,8.463,22.275,0,0,[IRQ] Class: 3
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,,,21.581,21.458,0,0,[IRQ] Class: 2
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,,,7.975,21.452,0,0,[IRQ] Class: 2
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,,,8.198,21.419,0,0,[IRQ] Class: 3
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,,,7.492,21.468,0,0,[IRQ] Class: 3
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,8.077,21.459,0,0,[IRQ] Class: 2
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,,,7.720,21.457,0,0,[IRQ] Class: 0
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,8.196,21.479,0,0,[IRQ] Class: 2
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,8.045,21.473,0,0,[IRQ] Class: 2
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,,,7.819,21.481,0,0,[IRQ] Class: 3
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,,,7.330,21.613,0,0,[IRQ] Class: 2
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,,,7.213,21.979,0,0,[IRQ] Class: 3
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,,,7.291,21.446,0,0,[IRQ] Class: 2
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,8.443,21.453,0,0,[IRQ] Class: 2
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,,,7.865,21.522,0,0,[IRQ] Class: 3
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,,,7.203,21.687,0,0,[IRQ] Class: 3
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,,,7.345,22.261,0,0,[IRQ] Class: 2
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,,,8.989,21.647,0,0,[IRQ] Class: 3
22,no_e71a9381_nohash_2,no,no,1,no,1,-128;-126;-128;126,,,21.384,22.110,0,0,[IRQ] Class: 3
23,no_1995cf9e_nohash_0,no,no,1,no,1,-128;-127;-128;127,,,7.602,21.470,0,0,[IRQ] Class: 3
24,no_9712cce0_nohash_0,no,no,1,no,1,-128;-124;-128;124,,,7.918,21.515,0,0,[IRQ] Class: 3
25,no_40b60ae9_nohash_0,no,no,1,no,1,-128;-124;-128;124,,,7.104,22.002,0,0,[IRQ] Class: 3
26,yes_39afb88e_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,7.305,21.827,0,0,[IRQ] Class: 2
27,go_8931f494_nohash_0,no,no,1,unknown,0,-128;-12;-128;11,,,9.485,21.495,0,0,[IRQ] Class: 3
28,yes_31fd5cf5_nohash_0,unknown,unknown,1,yes,0,-128;6;-16;-119,,,5.706,21.735,0,0,[IRQ] Class: 1
29,no_a8f45bdc_nohash_0,no,no,1,no,1,-128;-128;-128;127,,,8.437,21.474,0,0,[IRQ] Class: 3
30,yes_cc6ee39b_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,7.671,21.527,0,0,[IRQ] Class: 2
31,go_190821dc_nohash_1,no,no,1,unknown,0,-128;-117;-128;117,,,7.452,21.453,0,0,[IRQ] Class: 3
32,yes_472b8045_nohash_4,yes,yes,1,yes,1,-128;-127;126;-128,,,7.878,21.498,0,0,[IRQ] Class: 2
33,no_1a73dcd1_nohash_2,unknown,unknown,1,no,0,-128;4;-80;-52,,,8.745,21.557,0,0,[IRQ] Class: 1
34,no_6727b579_nohash_0,no,no,1,no,1,-128;-127;-128;127,,,7.910,22.060,0,0,[IRQ] Class: 3
35,no_270bfa52_nohash_1,no,no,1,no,1,-128;-125;-128;125,,,21.479,21.485,0,0,[IRQ] Class: 3
36,go_6adb8ad9_nohash_0,no,no,1,unknown,0,-128;-95;-128;95,,,8.165,21.460,0,0,[IRQ] Class: 3
37,go_cb72dfb6_nohash_3,no,no,1,unknown,0,-128;-56;-125;53,,,7.791,21.497,0,0,[IRQ] Class: 3
38,no_b69002d4_nohash_0,no,no,1,no,1,-128;-30;-126;28,,,8.057,21.438,0,0,[IRQ] Class: 3
39,go_56eab10e_nohash_0,no,no,1,unknown,0,-128;-122;-128;122,,,7.408,21.497,0,0,[IRQ] Class: 3
40,go_d0faf7e4_nohash_3,unknown,unknown,1,unknown,1,-128;45;-127;-45,,,7.643,21.426,0,0,[IRQ] Class: 1
41,no_dce05676_nohash_0,no,no,1,no,1,-128;-126;-128;126,,,7.517,21.806,0,0,[IRQ] Class: 3
42,go_bb6d4301_nohash_3,no,no,1,unknown,0,-128;-73;-128;72,,,7.993,21.427,0,0,[IRQ] Class: 3
43,no_1dc86f91_nohash_3,no,no,1,no,1,-128;-108;-126;106,,,8.060,22.239,0,0,[IRQ] Class: 3
44,go_eeaf97c3_nohash_3,no,no,1,unknown,0,-128;-13;-125;10,,,7.022,21.501,0,0,[IRQ] Class: 3
45,yes_1b18600d_nohash_1,yes,yes,1,yes,1,-70;-80;-7;-100,,,7.740,21.448,0,0,[IRQ] Class: 2
46,yes_3e31dffe_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,7.407,21.559,0,0,[IRQ] Class: 2
47,yes_2296b1af_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,,,6.607,22.069,0,0,[IRQ] Class: 2
48,yes_de3fe344_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,7.272,21.521,0,0,[IRQ] Class: 2
49,go_e71a9381_nohash_2,no,no,1,unknown,0,-128;-96;-128;95,,,7.833,21.554,0,0,[IRQ] Class: 3
50,no_5f1253e9_nohash_0,no,no,1,no,1,-128;-106;-115;93,,,6.975,22.176,0,0,[IRQ] Class: 3
51,no_6c0f6493_nohash_0,no,no,1,no,1,-128;-123;-128;123,,,8.055,21.438,0,0,[IRQ] Class: 3
52,no_773e26f7_nohash_4,no,no,1,no,1,-128;-118;-128;118,,,7.114,21.928,0,0,[IRQ] Class: 3
53,go_01bcfc0c_nohash_0,no,no,1,unknown,0,-128;-87;-128;87,,,6.264,22.485,0,0,[IRQ] Class: 3
54,no_c5a1e46c_nohash_0,no,no,1,no,1,-128;-110;-127;109,,,6.885,21.981,0,0,[IRQ] Class: 3
55,yes_f2e59fea_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,,,8.003,21.456,0,0,[IRQ] Class: 2
56,go_954f190f_nohash_0,no,no,1,unknown,0,-121;-50;-121;35,,,7.546,21.558,0,0,[IRQ] Class: 3
57,go_3659fc1c_nohash_0,no,no,1,unknown,0,-66;-66;-95;-29,,,8.152,21.488,0,0,[IRQ] Class: 3
58,go_0cb74144_nohash_1,no,no,1,unknown,0,-128;-110;-125;107,,,8.023,21.551,0,0,[IRQ] Class: 3
59,go_1942abd7_nohash_0,unknown,unknown,1,unknown,1,-128;110;-127;-111,,,6.832,21.503,0,0,[IRQ] Class: 1
60,go_b69002d4_nohash_1,no,no,1,unknown,0,-128;-90;-128;90,,,7.882,21.488,0,0,[IRQ] Class: 3
61,go_28e47b1a_nohash_1,unknown,unknown,1,unknown,1,-128;80;-128;-80,,,7.431,21.580,0,0,[IRQ] Class: 1
62,_background_noise__white_noise,silence,silence,1,silence,1,122;-127;-125;-126,,,6.769,22.578,0,0,[IRQ] Class: 0
63,no_a1cff772_nohash_1,no,no,1,no,1,-128;-127;-128;127,,,7.820,21.428,0,0,[IRQ] Class: 3
64,no_01648c51_nohash_0,no,no,1,no,1,-128;-126;-128;126,,,7.748,21.483,0,0,[IRQ] Class: 3
65,yes_a9ca1818_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,6.702,22.471,0,0,[IRQ] Class: 2
66,no_39833acb_nohash_2,unknown,unknown,1,no,0,-128;38;-126;-41,,,6.579,21.989,0,0,[IRQ] Class: 1
67,go_ee1d8d49_nohash_3,unknown,unknown,1,unknown,1,-128;22;-126;-24,,,7.335,21.509,0,0,[IRQ] Class: 1
68,no_c39703ec_nohash_1,no,no,1,no,1,-126;-122;-107;99,,,8.036,21.411,0,0,[IRQ] Class: 3
69,yes_db72a474_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,,,7.667,21.434,0,0,[IRQ] Class: 2
70,go_27c24504_nohash_3,no,no,1,unknown,0,-128;-96;-124;92,,,8.238,21.557,0,0,[IRQ] Class: 3
71,no_0132a06d_nohash_4,no,no,1,no,1,-128;-80;-128;80,,,7.742,21.457,0,0,[IRQ] Class: 3
72,go_173ae793_nohash_1,no,no,1,unknown,0,-128;-110;-128;110,,,7.823,21.427,0,0,[IRQ] Class: 3
73,go_c1d39ce8_nohash_8,no,no,1,unknown,0,-128;-118;-112;102,,,8.281,21.458,0,0,[IRQ] Class: 3
74,no_37dca74f_nohash_0,no,no,1,no,1,-128;-113;-127;112,,,7.953,21.446,0,0,[IRQ] Class: 3
75,yes_51f7a034_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,8.034,21.434,0,0,[IRQ] Class: 2
76,go_d394ef8e_nohash_1,unknown,unknown,1,unknown,1,-128;44;-127;-45,,,8.388,21.483,0,0,[IRQ] Class: 1
77,go_fb8c31a9_nohash_1,no,no,1,unknown,0,-128;-114;-124;110,,,7.249,21.476,0,0,[IRQ] Class: 3
78,no_538e1856_nohash_0,no,no,1,no,1,-128;-126;-128;126,,,7.633,21.478,0,0,[IRQ] Class: 3
79,go_2da58b32_nohash_3,no,no,1,unknown,0,-128;-125;-127;124,,,7.881,21.430,0,0,[IRQ] Class: 3
80,yes_2fcb6397_nohash_2,yes,yes,1,yes,1,-128;-128;110;-110,,,9.899,21.518,0,0,[IRQ] Class: 2
81,no_a97017df_nohash_1,no,no,1,no,1,-128;-124;-128;124,,,5.881,21.502,0,0,[IRQ] Class: 3
82,go_6565a81d_nohash_3,no,no,1,unknown,0,-128;-80;-128;80,,,8.021,21.630,0,0,[IRQ] Class: 3
83,yes_41285056_nohash_2,yes,yes,1,yes,1,-128;-126;122;-124,,,7.521,21.455,0,0,[IRQ] Class: 2
84,go_eaa83485_nohash_4,no,no,1,unknown,0,-128;-108;-128;108,,,7.976,21.441,0,0,[IRQ] Class: 3
85,no_c33682f0_nohash_0,no,no,1,no,1,-128;-120;-128;120,,,8.152,21.444,0,0,[IRQ] Class: 3
86,yes_52162b51_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,,,6.979,21.760,0,0,[IRQ] Class: 2
