file,name,truth,golden,golden_probs,source
yes_953fe1ad_nohash_1.bin,yes_953fe1ad_nohash_1,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/953fe1ad_nohash_1.wav
go_f2e59fea_nohash_3.bin,go_f2e59fea_nohash_3,unknown,unknown,0.0000;0.9023;0.0078;0.0898,downloaded/go/f2e59fea_nohash_3.wav
yes_0717b9f6_nohash_0.bin,yes_0717b9f6_nohash_0,yes,yes,0.0000;0.0156;0.9766;0.0078,downloaded/yes/0717b9f6_nohash_0.wav
yes_51f7a034_nohash_3.bin,yes_51f7a034_nohash_3,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/51f7a034_nohash_3.wav
no_bde0f20a_nohash_0.bin,no_bde0f20a_nohash_0,no,no,0.0000;0.0078;0.0000;0.9922,downloaded/no/bde0f20a_nohash_0.wav
go_bdd22e4d_nohash_4.bin,go_bdd22e4d_nohash_4,unknown,no,0.0039;0.0977;0.0117;0.8867,downloaded/go/bdd22e4d_nohash_4.wav
no_94d370bf_nohash_1.bin,no_94d370bf_nohash_1,no,no,0.0000;0.0156;0.0039;0.9805,downloaded/no/94d370bf_nohash_1.wav
no_39833acb_nohash_2.bin,no_39833acb_nohash_2,no,unknown,0.0000;0.6484;0.0078;0.3398,downloaded/no/39833acb_nohash_2.wav
yes_1496195a_nohash_3.bin,yes_1496195a_nohash_3,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/1496195a_nohash_3.wav
yes_7fb8d703_nohash_3.bin,yes_7fb8d703_nohash_3,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/7fb8d703_nohash_3.wav
no_a1cff772_nohash_1.bin,no_a1cff772_nohash_1,no,no,0.0000;0.0039;0.0000;0.9961,downloaded/no/a1cff772_nohash_1.wav
yes_525eaa62_nohash_2.bin,yes_525eaa62_nohash_2,yes,yes,0.0000;0.0000;0.9961;0.0039,downloaded/yes/525eaa62_nohash_2.wav
_background_noise__white_noise.bin,_background_noise__white_noise,silence,silence,0.9766;0.0039;0.0117;0.0078,downloaded/_background_noise_/white_noise.wav
go_96d8bb6f_nohash_3.bin,go_96d8bb6f_nohash_3,unknown,unknown,0.0000;0.6133;0.0000;0.3867,downloaded/go/96d8bb6f_nohash_3.wav
go_726382d6_nohash_1.bin,go_726382d6_nohash_1,unknown,no,0.0000;0.0586;0.0000;0.9375,downloaded/go/726382d6_nohash_1.wav
yes_23da904f_nohash_3.bin,yes_23da904f_nohash_3,yes,yes,0.0000;0.0039;0.9961;0.0000,downloaded/yes/23da904f_nohash_3.wav
go_5677ec77_nohash_0.bin,go_5677ec77_nohash_0,unknown,no,0.0000;0.0391;0.0039;0.9609,downloaded/go/5677ec77_nohash_0.wav
yes_31fd5cf5_nohash_0.bin,yes_31fd5cf5_nohash_0,yes,unknown,0.0000;0.5234;0.4375;0.0352,downloaded/yes/31fd5cf5_nohash_0.wav
