file,name,truth,golden,golden_scores,golden_probs
vectors/yes_953fe1ad_nohash_1.bin,yes_953fe1ad_nohash_1,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_f2e59fea_nohash_3.bin,go_f2e59fea_nohash_3,unknown,unknown,-128;103;-126;-105,0.0000;0.9023;0.0078;0.0898
vectors/yes_0717b9f6_nohash_0.bin,yes_0717b9f6_nohash_0,yes,yes,-128;-124;122;-126,0.0000;0.0156;0.9766;0.0078
vectors/yes_51f7a034_nohash_3.bin,yes_51f7a034_nohash_3,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/no_bde0f20a_nohash_0.bin,no_bde0f20a_nohash_0,no,no,-128;-126;-128;126,0.0000;0.0078;0.0000;0.9922
vectors/go_bdd22e4d_nohash_4.bin,go_bdd22e4d_nohash_4,unknown,no,-127;-103;-125;99,0.0039;0.0977;0.0117;0.8867
vectors/no_94d370bf_nohash_1.bin,no_94d370bf_nohash_1,no,no,-128;-124;-127;123,0.0000;0.0156;0.0039;0.9805
vectors/no_39833acb_nohash_2.bin,no_39833acb_nohash_2,no,unknown,-128;38;-126;-41,0.0000;0.6484;0.0078;0.3398
vectors/yes_1496195a_nohash_3.bin,yes_1496195a_nohash_3,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/yes_7fb8d703_nohash_3.bin,yes_7fb8d703_nohash_3,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/no_a1cff772_nohash_1.bin,no_a1cff772_nohash_1,no,no,-128;-127;-128;127,0.0000;0.0039;0.0000;0.9961
vectors/yes_525eaa62_nohash_2.bin,yes_525eaa62_nohash_2,yes,yes,-128;-128;127;-127,0.0000;0.0000;0.9961;0.0039
vectors/_background_noise__white_noise.bin,_background_noise__white_noise,silence,silence,122;-127;-125;-126,0.9766;0.0039;0.0117;0.0078
vectors/go_96d8bb6f_nohash_3.bin,go_96d8bb6f_nohash_3,unknown,unknown,-128;29;-128;-29,0.0000;0.6133;0.0000;0.3867
vectors/go_726382d6_nohash_1.bin,go_726382d6_nohash_1,unknown,no,-128;-113;-128;112,0.0000;0.0586;0.0000;0.9375
vectors/yes_23da904f_nohash_3.bin,yes_23da904f_nohash_3,yes,yes,-128;-127;127;-128,0.0000;0.0039;0.9961;0.0000
vectors/go_5677ec77_nohash_0.bin,go_5677ec77_nohash_0,unknown,no,-128;-118;-127;118,0.0000;0.0391;0.0039;0.9609
vectors/yes_31fd5cf5_nohash_0.bin,yes_31fd5cf5_nohash_0,yes,unknown,-128;6;-16;-119,0.0000;0.5234;0.4375;0.0352
vectors/yes_3e31dffe_nohash_0.bin,yes_3e31dffe_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/yes_cc6ee39b_nohash_0.bin,yes_cc6ee39b_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/yes_4bc2c2c5_nohash_3.bin,yes_4bc2c2c5_nohash_3,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/yes_a9ca1818_nohash_0.bin,yes_a9ca1818_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/no_6c0f6493_nohash_0.bin,no_6c0f6493_nohash_0,no,no,-128;-123;-128;123,0.0000;0.0195;0.0000;0.9805
vectors/go_eaa83485_nohash_4.bin,go_eaa83485_nohash_4,unknown,no,-128;-108;-128;108,0.0000;0.0781;0.0000;0.9219
vectors/go_d0faf7e4_nohash_3.bin,go_d0faf7e4_nohash_3,unknown,unknown,-128;45;-127;-45,0.0000;0.6758;0.0039;0.3242
vectors/no_18d120ae_nohash_0.bin,no_18d120ae_nohash_0,no,no,-128;-94;-118;84,0.0000;0.1328;0.0391;0.8281
vectors/yes_93ec8b84_nohash_0.bin,yes_93ec8b84_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_31270cb2_nohash_0.bin,go_31270cb2_nohash_0,unknown,no,-128;-95;-128;95,0.0000;0.1289;0.0000;0.8711
vectors/go_28e47b1a_nohash_1.bin,go_28e47b1a_nohash_1,unknown,unknown,-128;80;-128;-80,0.0000;0.8125;0.0000;0.1875
vectors/no_6794a793_nohash_0.bin,no_6794a793_nohash_0,no,no,-128;-78;-118;68,0.0000;0.1953;0.0391;0.7656
vectors/yes_e91d173e_nohash_1.bin,yes_e91d173e_nohash_1,yes,yes,-128;-125;124;-128,0.0000;0.0117;0.9844;0.0000
vectors/no_9be15e93_nohash_0.bin,no_9be15e93_nohash_0,no,no,-128;-127;-128;127,0.0000;0.0039;0.0000;0.9961
