index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,,0,unknown,0,-128;-107;-121;100,,,,21.496,1,1,
1,no_256c0a05_nohash_0,no,,0,no,0,-128;-127;-128;126,,,,21.383,1,1,
2,no_9be15e93_nohash_0,no,no,1,no,1,-128;-127;-128;127,0;0.0031;0.0014;0.9948,0.0875,18.521,21.399,0,0,"[IRQ] Class: 3 scores=0.0000,0.0031,0.0014,0.9948"
3,yes_ffb86d3c_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,0;0.0019;0.997;0.0004,0.0825,23.881,21.442,0,0,"[IRQ] Class: 2 scores=0.0000,0.0019,0.9970,0.0004"
4,go_0c40e715_nohash_1,no,no,1,unknown,0,-128;-124;-128;124,0;0.0144;0;0.9851,0.0475,23.549,21.431,0,0,"[IRQ] Class: 3 scores=0.0000,0.0144,0.0000,0.9851"
5,yes_7be9f58a_nohash_0,yes,yes,1,yes,1,-128;-120;98;-105,0.0002;0.0295;0.8808;0.0886,0.1275,23.999,21.415,0,0,"[IRQ] Class: 2 scores=0.0002,0.0295,0.8808,0.0886"
6,yes_525eaa62_nohash_2,yes,yes,1,yes,1,-128;-128;127;-127,0;0;0.9973;0.0019,0.0800,23.823,21.405,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9973,0.0019"
7,no_c39703ec_nohash_4,no,no,1,no,1,-128;-101;-126;98,0.0012;0.1071;0.008;0.8833,0.0875,19.546,26.146,0,0,"[IRQ] Class: 3 scores=0.0012,0.1071,0.0080,0.8833"
8,no_c0fb6812_nohash_0,no,no,1,no,1,-128;-108;-127;107,0;0.0769;0.0048;0.9179,0.0550,23.794,21.407,0,0,"[IRQ] Class: 3 scores=0.0000,0.0769,0.0048,0.9179"
9,yes_4bc2c2c5_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0;1;0,0.0975,24.042,21.383,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,1.0000,0.0000"
10,_background_noise__doing_the_dishes,silence,silence,1,silence,1,43;-71;-119;-109,0.6682;0.2221;0.0354;0.0737,0.0375,23.756,21.458,0,0,"[IRQ] Class: 0 scores=0.6682,0.2221,0.0354,0.0737"
11,yes_f575faf3_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0007;0.9987;0,0.0825,23.668,21.411,0,0,"[IRQ] Class: 2 scores=0.0000,0.0007,0.9987,0.0000"
12,yes_73af0c50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0;1;0,0.0975,23.931,21.440,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,1.0000,0.0000"
13,go_726382d6_nohash_1,no,no,1,unknown,0,-128;-113;-128;112,0;0.0598;0.0002;0.9392,0.0775,23.673,21.410,0,0,"[IRQ] Class: 3 scores=0.0000,0.0598,0.0002,0.9392"
14,yes_953fe1ad_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,0;0;0.9995;0,0.0850,23.989,21.411,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9995,0.0000"
15,go_ab46af55_nohash_1,no,no,1,unknown,0,-128;-6;-128;6,0;0.477;0;0.5227,0.0275,23.756,21.407,0,0,"[IRQ] Class: 3 scores=0.0000,0.4770,0.0000,0.5227"
16,yes_23da904f_nohash_3,yes,yes,1,yes,1,-128;-127;127;-128,0;0.0021;0.997;0.0002,0.0725,24.060,21.420,0,0,"[IRQ] Class: 2 scores=0.0000,0.0021,0.9970,0.0002"
17,yes_93ec8b84_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0014;0.9978;0.0002,0.0825,24.094,21.433,0,0,"[IRQ] Class: 2 scores=0.0000,0.0014,0.9978,0.0002"
18,no_64df20d8_nohash_0,no,no,1,no,1,-128;-120;-128;119,0;0.0324;0.0007;0.9663,0.0850,23.701,21.425,0,0,"[IRQ] Class: 3 scores=0.0000,0.0324,0.0007,0.9663"
19,no_cc3b5b62_nohash_4,no,no,1,no,1,-128;-120;-121;113,0;0.0314;0.0261;0.9416,0.0400,23.926,21.387,0,0,"[IRQ] Class: 3 scores=0.0000,0.0314,0.0261,0.9416"
