Time resolution is 1 ps
[0] SoC Simülasyonu Başlatıldı.
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/ybari/OneDrive/Desktop/Arkhe_2026/cv32e40p-master/rtl/cv32e40p_load_store_unit.sv:419
[0] GPIO Çıkışı Değişti: gpio_o = 16'h0000
[150000] PC_ID=0x00000000 | x10(a0)=0x00000000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=0 | rx_rd=0 | rx_empty=1
[151000] Reset kaldırıldı. İşlemci çalışıyor...
[170000] PC_ID=0x00000000 | x10(a0)=0x00000000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[190000] PC_ID=0x00000000 | x10(a0)=0x00000000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[210000] PC_ID=0x00000000 | x10(a0)=0x00000000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[230000] PC_ID=0x00000000 | x10(a0)=0x00000000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[250000] PC_ID=0x00000000 | x10(a0)=0x00000000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[270000] PC_ID=0x00000000 | x10(a0)=0x00000000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[290000] PC_ID=0x00000000 | x10(a0)=0x40050000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[310000] PC_ID=0x00000004 | x10(a0)=0x40050000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[330000] PC_ID=0x00000004 | x10(a0)=0x40050000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[350000] PC_ID=0x00000004 | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[370000] PC_ID=0x00000008 | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[390000] PC_ID=0x00000008 | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[410000] PC_ID=0x00000008 | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[430000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[450000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[470000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x40050008 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[490000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x40050008 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[510000] PC_ID=0x0000000c | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x40050008 | awvalid=0 | rx_wr=24 | rx_rd=0 | rx_empty=0
[510000] [QSPI_MASTER] Read from RX_FIFO[0] = 0x40000537, rx_empty=0, rx_wr_ptr=24
[530000] PC_ID=0x00000010 | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x40050008 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
